mac_cliente,mac_ap,banda,rssi,time_step
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,222
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,222
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,222
8.212.12.130.83.142,44.208.45.127.103.160,0,-93,222
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,222
8.212.12.130.83.142,44.208.45.127.103.160,0,-93,223
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,223
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,223
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,223
176.197.89.188.18.183,44.208.45.127.67.64,0,-92,223
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,223
176.197.89.188.18.183,44.208.45.127.67.64,0,-91,224
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,224
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,224
8.212.12.130.83.142,44.208.45.127.103.160,0,-92,224
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,224
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,224
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,225
176.197.89.188.18.183,44.208.45.127.67.64,0,-90,225
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,225
8.212.12.130.83.142,44.208.45.127.103.160,0,-91,225
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,225
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,226
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,226
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,226
176.197.89.188.18.183,44.208.45.127.67.64,0,-90,226
8.212.12.130.83.142,44.208.45.127.103.160,0,-93,226
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,227
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,227
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,227
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,227
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,227
24.33.149.227.215.219,44.208.45.127.67.64,0,-95,228
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,228
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,228
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,228
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,228
148.233.121.198.198.71,44.208.45.127.67.64,0,-60,228
148.233.121.198.198.71,44.208.45.127.67.64,0,-59,229
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,229
24.33.149.227.215.219,44.208.45.127.67.64,0,-95,229
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,229
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,229
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,229
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,230
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,230
172.253.206.125.31.69,44.208.45.125.172.128,0,-36,230
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,230
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,230
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,230
148.233.121.198.198.71,44.208.45.127.67.64,0,-59,230
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,230
8.212.12.130.83.142,44.208.45.127.103.160,0,-80,231
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,231
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,231
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,231
172.253.206.125.31.69,44.208.45.125.172.128,0,-40,231
216.252.147.127.63.210,44.208.45.125.172.128,1,-66,231
148.233.121.198.198.71,44.208.45.127.67.64,0,-55,231
24.33.149.227.215.219,44.208.45.127.67.64,0,-92,231
176.197.89.188.18.183,44.208.45.127.67.64,0,-90,232
148.233.121.198.198.71,44.208.45.127.67.64,0,-50,232
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,232
172.253.206.125.31.69,44.208.45.125.172.128,0,-37,232
24.33.149.227.215.219,44.208.45.127.67.64,0,-92,232
216.252.147.127.63.210,44.208.45.125.172.128,1,-66,232
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,232
8.212.12.130.83.142,44.208.45.127.103.160,0,-60,232
24.33.149.227.215.219,44.208.45.127.67.64,0,-92,233
148.233.121.198.198.71,44.208.45.127.67.64,0,-48,233
8.212.12.130.83.142,44.208.45.127.103.160,0,-76,233
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,233
176.197.89.188.18.183,44.208.45.127.67.64,0,-91,233
172.253.206.125.31.69,44.208.45.125.172.128,0,-35,233
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,233
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,233
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,234
24.33.149.227.215.219,44.208.45.127.67.64,0,-93,234
176.197.89.188.18.183,44.208.45.127.67.64,0,-92,234
8.212.12.130.83.142,44.208.45.127.103.160,0,-96,234
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,234
148.233.121.198.198.71,44.208.45.127.67.64,0,-50,234
216.252.147.127.63.210,44.208.45.125.172.128,1,-69,234
172.253.206.125.31.69,44.208.45.125.172.128,0,-35,234
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,235
172.253.206.125.31.69,44.208.45.125.172.128,0,-36,235
216.252.147.127.63.210,44.208.45.125.172.128,1,-70,235
148.233.121.198.198.71,44.208.45.127.67.64,0,-52,235
176.197.89.188.18.183,44.208.45.127.67.64,0,-93,235
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,235
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,235
24.33.149.227.215.219,44.208.45.127.67.64,0,-93,235
8.212.12.130.83.142,44.208.45.127.103.160,0,-93,236
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,236
172.253.206.125.31.69,44.208.45.125.172.128,0,-37,236
216.252.147.127.63.210,44.208.45.125.172.128,1,-72,236
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,236
148.233.121.198.198.71,44.208.45.127.67.64,0,-53,236
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,236
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,237
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,237
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,237
148.233.121.198.198.71,44.208.45.127.67.64,0,-55,237
172.253.206.125.31.69,44.208.45.125.172.128,0,-40,237
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,237
172.253.206.125.31.69,44.208.45.125.172.128,0,-40,238
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,238
148.233.121.198.198.71,44.208.45.127.67.64,0,-58,238
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,238
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,238
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,238
8.212.12.130.83.142,44.208.45.127.103.160,0,-95,239
148.233.121.198.198.71,44.208.45.127.67.64,0,-62,239
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,239
172.253.206.125.31.69,44.208.45.125.172.128,0,-36,239
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,239
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,240
172.253.206.125.31.69,44.208.45.125.172.128,0,-36,240
24.33.149.227.215.219,44.208.45.127.67.64,0,-94,240
8.212.12.130.83.142,44.208.45.127.103.160,0,-94,240
148.233.121.198.198.71,44.208.45.127.67.64,0,-61,240
148.233.121.198.198.71,44.208.45.127.67.64,0,-59,241
8.212.12.130.83.142,44.208.45.127.103.160,0,-92,241
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,241
172.253.206.125.31.69,44.208.45.125.172.128,0,-40,241
24.33.149.227.215.219,44.208.45.127.67.64,0,-95,241
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,242
148.233.121.198.198.71,44.208.45.127.67.64,0,-59,242
8.212.12.130.83.142,44.208.45.127.103.160,0,-92,242
172.253.206.125.31.69,44.208.45.125.172.128,0,-37,242
148.233.121.198.198.71,44.208.45.127.67.64,0,-59,243
8.212.12.130.83.142,44.208.45.127.103.160,0,-92,243
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,243
172.253.206.125.31.69,44.208.45.125.172.128,0,-35,243
148.233.121.198.198.71,44.208.45.127.67.64,0,-57,244
8.212.12.130.83.142,44.208.45.127.103.160,0,-92,244
172.253.206.125.31.69,44.208.45.125.172.128,0,-35,244
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,244
148.233.121.198.198.71,44.208.45.127.67.64,0,-52,245
8.212.12.130.83.142,44.208.45.127.103.160,0,-91,245
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,245
216.252.147.127.63.210,44.208.45.127.103.160,0,-76,245
172.253.206.125.31.69,44.208.45.125.172.128,0,-36,245
172.253.206.125.31.69,44.208.45.125.172.128,0,-37,246
148.233.121.198.198.71,44.208.45.127.67.64,0,-48,246
120.228.0.57.52.255,44.208.45.127.67.64,0,-45,246
216.252.147.127.63.210,44.208.45.127.103.160,0,-76,246
8.212.12.130.83.142,44.208.45.127.103.160,0,-92,246
216.252.147.127.63.210,44.208.45.127.103.160,0,-77,247
148.233.121.198.198.71,44.208.45.127.67.64,0,-51,247
