mac_cliente,mac_ap,banda,antena,rssi,date,time
216.252.147.127.63.210,44.208.45.127.103.160,1,0,-90,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.127.103.160,1,1,-90,2018-04-30,11:05
240.3.140.45.251.130,44.208.45.127.67.64,0,0,-42,2018-04-30,11:05
240.3.140.45.251.130,44.208.45.127.67.64,0,1,-44,2018-04-30,11:05
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-97,2018-04-02,15:05
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-95,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-63,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-61,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-78,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-75,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-46,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.125.172.128,0,1,-59,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.125.172.128,1,0,-48,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.125.172.128,1,1,-52,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.127.67.64,0,0,-94,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.127.67.64,0,1,-95,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.127.103.160,0,0,-95,2018-04-02,15:05
0.22.235.183.118.194,44.208.45.127.103.160,0,1,-93,2018-04-02,15:05
0.22.235.198.105.177,0.66.104.213.240.0,0,0,-98,2018-04-02,15:05
0.22.235.198.105.177,0.66.104.213.240.0,0,1,-99,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.106.167.16,0,0,-65,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.106.167.16,0,1,-52,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.106.167.16,1,0,-73,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.106.167.16,1,1,-81,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.125.172.128,0,0,-46,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.125.172.128,0,1,-50,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.125.172.128,1,0,-53,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.125.172.128,1,1,-62,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.127.67.64,0,0,-86,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.127.67.64,0,1,-84,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.127.103.160,0,0,-87,2018-04-02,15:05
0.22.235.198.105.177,44.208.45.127.103.160,0,1,-95,2018-04-02,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-98,2018-04-02,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-99,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-57,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-62,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,0,-69,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,1,-61,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-59,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-51,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,0,-65,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,1,-64,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-94,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-96,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-80,2018-04-02,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-83,2018-04-02,15:05
24.33.149.227.215.219,0.66.104.213.240.0,0,0,-94,2018-04-02,15:05
24.33.149.227.215.219,0.66.104.213.240.0,0,1,-95,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.106.167.16,0,0,-96,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.106.167.16,0,1,-95,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.125.172.128,0,0,-99,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.125.172.128,0,1,-97,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.127.67.64,0,0,-96,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.127.67.64,0,1,-95,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.127.103.160,0,0,-65,2018-04-02,15:05
24.33.149.227.215.219,44.208.45.127.103.160,0,1,-71,2018-04-02,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-98,2018-04-03,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-99,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-49,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-54,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,0,-75,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,1,-67,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-47,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-45,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,0,-60,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,1,-51,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-89,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-89,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-84,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-84,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.127.103.160,1,0,-92,2018-04-03,15:05
8.212.12.130.83.142,44.208.45.127.103.160,1,1,-92,2018-04-03,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-95,2018-04-06,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-98,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-60,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-47,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,0,-74,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,1,-64,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-44,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-48,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,0,-55,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,1,-50,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-87,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-87,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-76,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-78,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.127.103.160,1,0,-93,2018-04-06,15:05
8.212.12.130.83.142,44.208.45.127.103.160,1,1,-91,2018-04-06,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-56,2018-04-06,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-61,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-92,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-91,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-86,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-77,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-94,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-97,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-79,2018-04-06,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-85,2018-04-06,15:05
216.252.147.127.63.210,0.66.104.213.240.0,1,0,-59,2018-04-06,15:05
216.252.147.127.63.210,0.66.104.213.240.0,1,1,-65,2018-04-06,15:05
216.252.147.127.63.210,44.208.45.106.167.16,0,0,-98,2018-04-06,15:05
216.252.147.127.63.210,44.208.45.106.167.16,0,1,-97,2018-04-06,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-99,2018-04-09,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-98,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-54,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-70,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,0,-66,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.106.167.16,1,1,-67,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-57,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-46,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,0,-54,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.125.172.128,1,1,-55,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-95,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-98,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-75,2018-04-09,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-75,2018-04-09,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,0,-67,2018-04-09,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,1,-59,2018-04-09,15:05
148.233.121.198.198.71,44.208.45.127.67.64,0,0,-98,2018-04-09,15:05
148.233.121.198.198.71,44.208.45.127.67.64,0,1,-96,2018-04-09,15:05
148.233.121.198.198.71,44.208.45.127.103.160,0,0,-66,2018-04-09,15:05
148.233.121.198.198.71,44.208.45.127.103.160,0,1,-68,2018-04-09,15:05
172.253.206.125.31.69,0.66.104.213.240.0,0,0,-95,2018-04-09,15:05
172.253.206.125.31.69,0.66.104.213.240.0,0,1,-96,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.106.167.16,0,0,-46,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.106.167.16,0,1,-47,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.106.167.16,1,0,-72,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.106.167.16,1,1,-74,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.125.172.128,0,0,-36,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.125.172.128,0,1,-39,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.125.172.128,1,0,-51,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.125.172.128,1,1,-58,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.127.67.64,0,0,-90,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.127.67.64,0,1,-90,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.127.103.160,0,0,-68,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.127.103.160,0,1,-66,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.127.103.160,1,0,-74,2018-04-09,15:05
172.253.206.125.31.69,44.208.45.127.103.160,1,1,-74,2018-04-09,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-97,2018-04-09,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-96,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-82,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-76,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-82,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-78,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-97,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-95,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-70,2018-04-09,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-71,2018-04-09,15:05
148.233.121.198.198.71,0.66.104.213.240.0,0,0,-49,2018-04-11,15:05
148.233.121.198.198.71,0.66.104.213.240.0,0,1,-46,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.106.167.16,0,0,-86,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.106.167.16,0,1,-88,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,0,-89,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.125.172.128,0,1,-97,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.127.67.64,0,0,-64,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.127.67.64,0,1,-68,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.127.103.160,0,0,-99,2018-04-11,15:05
148.233.121.198.198.71,44.208.45.127.103.160,0,1,-96,2018-04-11,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-97,2018-04-11,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-98,2018-04-11,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-67,2018-04-11,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-65,2018-04-11,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-60,2018-04-11,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-97,2018-04-11,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-94,2018-04-11,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-66,2018-04-11,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-66,2018-04-11,15:05
216.91.42.135.186.195,44.208.45.106.167.16,0,0,-86,2018-04-11,15:05
216.91.42.135.186.195,44.208.45.106.167.16,0,1,-83,2018-04-11,15:05
216.91.42.135.186.195,44.208.45.127.67.64,0,0,-79,2018-04-11,15:05
216.91.42.135.186.195,44.208.45.127.67.64,0,1,-83,2018-04-11,15:05
216.91.42.135.186.195,44.208.45.127.103.160,0,0,-61,2018-04-11,15:05
216.91.42.135.186.195,44.208.45.127.103.160,0,1,-64,2018-04-11,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-61,2018-04-13,15:05
