mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-96,2018-09-25,11:05,35,19
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-98,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-39,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-44,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-62,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-71,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-95,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-92,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-73,2018-09-25,11:05,35,19
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-85,2018-09-25,11:05,35,19
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-85,2018-09-25,15:05,35,20
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-83,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-42,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-43,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-76,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-71,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-84,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-77,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-85,2018-09-25,15:05,35,20
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-83,2018-09-25,15:05,35,20
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-94,2018-09-26,11:05,35,21
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-97,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-53,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-46,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-61,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-53,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-95,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-91,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-71,2018-09-26,11:05,35,21
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-79,2018-09-26,11:05,35,21
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-97,2018-09-26,15:05,35,22
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-96,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-99,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-97,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-72,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-64,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-96,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-94,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-63,2018-09-26,15:05,35,22
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-63,2018-09-26,15:05,35,22
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-96,2018-09-27,11:05,35,23
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-96,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-32,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-44,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-59,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-60,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-91,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-95,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-90,2018-09-27,11:05,35,23
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-93,2018-09-27,11:05,35,23
180.213.189.242.128.35,0.66.104.213.240.0,0,0,-97,2018-09-10,15:05,36,1
180.213.189.242.128.35,0.66.104.213.240.0,0,1,-97,2018-09-10,15:05,36,1
180.213.189.242.128.35,44.208.45.106.167.16,0,0,-38,2018-09-10,15:05,36,1
