mac_cliente,mac_ap,banda,antena,rssi,date,time
104.83.88.164.135.195,0.66.104.213.240.0,1,0,-64,2018-10-11,15:05
104.83.88.164.135.195,0.66.104.213.240.0,1,1,-70,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.106.167.16,0,0,-98,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.106.167.16,0,1,-95,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.125.172.128,0,0,-93,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.125.172.128,0,1,-89,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.127.67.64,0,0,-73,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.127.67.64,0,1,-72,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.127.103.160,0,0,-57,2018-10-11,15:05
104.83.88.164.135.195,44.208.45.127.103.160,0,1,-66,2018-10-11,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-79,2018-10-11,15:05
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-69,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-74,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-69,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-89,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-85,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-85,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-90,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-82,2018-10-11,15:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-85,2018-10-11,15:05
216.252.147.127.63.210,0.66.104.213.240.0,0,0,-93,2018-10-11,15:05
216.252.147.127.63.210,0.66.104.213.240.0,0,1,-97,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.106.167.16,0,0,-33,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.106.167.16,0,1,-38,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.106.167.16,1,0,-51,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.106.167.16,1,1,-56,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.125.172.128,0,0,-64,2018-10-11,15:05
216.252.147.127.63.210,44.208.45.125.172.128,0,1,-59,2018-10-11,15:05
